ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
12207-8,January,40+40/2/40/110x80,31300,6,5752.336,12.5,12.26173158,5047,33297.87234,34797.6511,5047,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6,5883.568,12.5,64.12041129,1952,33297.87234,34797.6511,2111,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6,3094.888,12.5,24.13295732,2207,33297.87234,34797.6511,2348,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6,5894.504,12.5,14.734132,5026,33297.87234,34797.6511,5026,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6,5850.76,12.5,21.46319453,4391,33297.87234,34797.6511,4595,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6,5905.44,12.5,22.69839335,4340,33297.87234,34797.6511,4565,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6,5905.44,12.5,33.04478582,3754,33297.87234,34797.6511,3954,0,0,double,80,110,80
12207-8,January,40+40/2/40/110x80,31300,6,38286.936,12.5,27.79260268,TOTAL,33297.87234,34797.6511,27646,285,27982,double,80,110,80
12228-1,January,40x40/110x90,10450,7,1443.552,14.5,9.80581233,1302,11236.55914,12017.35043,1302,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7,1749.76,14.5,16.33138259,1464,11236.55914,12017.35043,1464,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7,2405.92,14.5,16.70545987,2004,11236.55914,12017.35043,2004,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7,2427.792,14.5,17.78537865,1996,11236.55914,12017.35043,1996,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7,1640.4,14.5,16.30090222,1373,11236.55914,12017.35043,1373,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7,1749.76,14.5,14.84546452,1490,11236.55914,12017.35043,1490,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7,1640.4,14.5,15.26456962,1390,11236.55914,12017.35043,1390,0,0,40,40,110,90
12228-1,January,40x40/110x90,10450,7,13057.584,14.5,15.61226028,TOTAL,11236.55914,12017.35043,11019,39,10659,40,40,110,90
12249-6(B),January,40x40/110x80,900,11.5,831.136,12.5,25.52362068,619,1016.949153,1062.753843,619,0,0,40,40,110,80
12249-6(B),January,40x40/110x80,900,11.5,1071.728,12.5,15.18370333,909,1016.949153,1062.753843,909,0,0,40,40,110,80
12249-6(B),January,40x40/110x80,900,11.5,1902.864,12.5,19.69998907,TOTAL,1016.949153,1062.753843,1528,0,1389,40,40,110,80
12277-5,January,40x40/130x80,8000,8,2624.64,14,10.46391124,2350,8695.652174,9245.815159,2350,0,0,40,40,130,80
12277-5,January,40x40/130x80,8000,8,2493.408,14,10.76470437,2225,8695.652174,9245.815159,2225,0,0,40,40,130,80
12277-5,January,40x40/130x80,8000,8,2515.28,14,10.42746732,2253,8695.652174,9245.815159,2253,0,0,40,40,130,80
12277-5,January,40x40/130x80,8000,8,2460.6,14,14.0047143,2116,8695.652174,9245.815159,2116,0,0,40,40,130,80
12277-5,January,40x40/130x80,8000,8,10093.928,14,11.39227464,TOTAL,8695.652174,9245.815159,8944,58,8795,40,40,130,80
12284-1,January,50x50/140x70,28000,8,2241.88,9,12.7517976,1956,30434.78261,30582.31168,1956,0,0,50,50,140,70
12317-1,January,50x50/140x70,26000,8,2405.92,9,14.79350934,2050,28260.86957,28397.86085,2050,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2427.792,9.1,13.4192715,2050,3808.487486,3831.158751,2102,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,1749.76,9.1,16.44568398,1462,3808.487486,3831.158751,1462,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2285.624,9.1,24.22200677,1520,3808.487486,3831.158751,1732,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2405.92,9.1,13.00625125,2093,3808.487486,3831.158751,2093,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2023.16,9.1,13.25451274,1755,3808.487486,3831.158751,1755,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2263.752,9.1,14.96418336,1925,3808.487486,3831.158751,1925,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2405.92,9.1,11.09430072,2139,3808.487486,3831.158751,2139,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2389.516,9.1,13.79007297,2060,3808.487486,3831.158751,2060,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2296.56,9.1,14.69850559,1959,3808.487486,3831.158751,1959,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2296.56,9.1,12.3907061,2012,3808.487486,3831.158751,2012,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,1531.04,9.1,13.78409447,1236,3808.487486,3831.158751,1320,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2405.92,9.1,11.21899315,2136,3808.487486,3831.158751,2136,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2405.92,9.1,12.13340427,2114,3808.487486,3831.158751,2114,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2396.0776,9.1,13.02451974,2084,3808.487486,3831.158751,2084,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2274.688,9.1,14.36188172,1948,3808.487486,3831.158751,1948,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,1531.04,9.1,10.06113491,1377,3808.487486,3831.158751,1377,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,1613.06,9.1,68.01110932,516,3808.487486,3831.158751,516,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,0,9.1,na,192,3808.487486,3831.158751,192,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,0,9.1,na,460,3808.487486,3831.158751,572,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2405.92,9.1,14.00379065,1842,3808.487486,3831.158751,2069,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2198.136,9.1,13.33566258,1905,3808.487486,3831.158751,1905,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2252.816,9.1,13.79677701,1942,3808.487486,3831.158751,1942,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2263.752,9.1,15.22923006,1919,3808.487486,3831.158751,1919,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2405.92,9.1,13.54658509,2080,3808.487486,3831.158751,2080,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2287.8112,9.1,13.76036624,1973,3808.487486,3831.158751,1973,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2121.584,9.1,11.00988695,1888,3808.487486,3831.158751,1888,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2252.816,9.1,17.88055483,1850,3808.487486,3831.158751,1850,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2427.792,9.1,17.24991268,2009,3808.487486,3831.158751,2009,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,1820.844,9.1,9.712199398,1644,3808.487486,3831.158751,1644,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,546.8,9.1,13.49670812,473,3808.487486,3831.158751,473,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2405.92,9.1,13.67127752,2077,3808.487486,3831.158751,2077,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,2405.92,9.1,15.45853561,2034,3808.487486,3831.158751,2034,0,0,50,50,140,70
12284-1(A),January,50x50/140x70,3500,8.1,69146.1408,9.1,14.1427138,TOTAL,3808.487486,3831.158751,59367,1043,61001,50,50,140,70
12285-4,January,40x40/130x80,1300,11.5,1651.336,14,15.5835033,1394,1468.926554,1561.863691,1394,0,0,40,40,130,80
12285-4,January,40x40/130x80,1300,11.5,1651.336,14,na,,1468.926554,1561.863691,,0,0,40,40,130,80
12285-4,January,40x40/130x80,1300,11.5,1651.336,14,15.5835033,TOTAL,1468.926554,1561.863691,1394,0,1326,40,40,130,80
12286-2,January,40x40/120x70,6750,7,2187.2,11,17.65727871,1801,7258.064516,7457.140334,1801,0,0,40,40,120,70
12320-1,January,40x40/120x70,2600,19,2750.404,11,15.24881436,2331,3209.876543,3297.917756,2331,0,0,40,40,120,70
12320-1(A),January,40x40/120x70,1240,13.5,1580.252,11.5,12.03934562,1390,1433.526012,1481.166243,1390,0,0,40,40,120,70
12320-1(A),January,40x40/120x70,1240,13.5,3171.44,11.5,16.78858815,2639,1433.526012,1481.166243,2639,0,0,40,40,120,70
12320-1(A),January,40x40/120x70,1240,13.5,678.032,11.5,48.08504613,352,1433.526012,1481.166243,352,0,0,40,40,120,70
12320-1(A),January,40x40/120x70,1240,13.5,842.072,11.5,19.36556494,679,1433.526012,1481.166243,679,0,0,40,40,120,70
12320-1(A),January,40x40/120x70,1240,13.5,0,11.5,na,289,1433.526012,1481.166243,289,0,0,40,40,120,70
12320-1(A),January,40x40/120x70,1240,13.5,2110.648,11.5,18.74533319,1715,1433.526012,1481.166243,1715,0,0,40,40,120,70
